X.Intercept. RepR2 RepR3 RepR4 Leaf IWB74799
18.43701 -7.726096 -12.60818 -5.784405 -0.9704159 -17.74429
18.77213 -9.483719 -12.6342 -4.937725 -0.5136856 -18.09011
18.44064 -11.34684 -14.77349 -7.899932 0.4226596 -18.51252
20.90508 -8.768881 -15.82888 -9.665582 -0.08278124 -17.49028
19.67578 -10.40014 -14.79618 -6.501231 -0.4555478 -17.91974
20.749 -10.15069 -20.26275 -8.527429 -0.735117 -16.89705
19.9168 -10.27586 -14.90033 -7.8341 -1.02106 -17.55822
19.42032 -11.19828 -16.66879 -5.051651 -0.4888484 -17.7753
21.73099 -13.00146 -19.11516 -9.691096 -0.7187741 -17.64673
21.20547 -12.76215 -18.98924 -9.121116 -0.6200205 -16.58215
19.3113 -13.46712 -16.57908 -9.719874 -0.1414219 -16.45211
20.27036 -10.70385 -19.59877 -7.468731 -1.174616 -15.14871
20.33419 -14.19568 -17.20503 -9.754031 -0.6344529 -17.51814
19.66556 -8.917926 -19.69113 -10.76287 -0.7223576 -17.3129
20.29015 -10.13903 -19.9767 -12.58871 -0.1651327 -17.35977
19.13105 -13.40636 -18.96804 -8.505573 -0.4327347 -17.71767
20.85663 -11.81261 -18.53892 -10.8837 -1.304019 -17.12586
21.17295 -8.15183 -17.13632 -6.671429 -0.5683171 -20.26853
23.33605 -11.53325 -19.22867 -7.507097 -0.7108369 -19.88953
23.21726 -11.43796 -19.24541 -7.892073 -0.9134788 -18.65715
23.70827 -13.84943 -16.13667 -9.810991 -0.6392929 -17.68836
21.39121 -11.16319 -15.55168 -9.239509 0.1512559 -19.29712
21.4302 -10.68299 -19.38083 -8.85601 -0.1962192 -16.48528
20.46587 -9.843888 -16.54438 -4.780207 -0.390733 -14.98714
21.34264 -9.39521 -16.21004 -9.894272 -0.5549992 -14.99711
20.35442 -9.891054 -13.71879 -7.718318 -0.8597907 -16.94975
19.30606 -10.00314 -18.02218 -7.63292 -0.929375 -16.66901
19.72011 -8.528495 -18.15039 -3.918588 -1.304378 -18.00242
19.14632 -6.407076 -18.7671 -5.07525 -1.238973 -17.72455
20.1755 -8.815853 -15.86691 -6.640911 -1.184973 -16.92028
17.74942 -8.773484 -14.94793 -5.849491 -1.457797 -15.76178
